airline,orignum,deptime,depdelay,arrdelay,cancelled,distance
20304.00,80.00,0.00,0.00,0.00,1.00,550.00
20304.00,83.00,0.00,0.00,0.00,1.00,550.00
20304.00,83.00,0.00,0.00,0.00,1.00,599.00
20304.00,67.00,0.00,0.00,0.00,1.00,304.00
20304.00,83.00,0.00,0.00,0.00,1.00,304.00
20304.00,67.00,0.00,0.00,0.00,1.00,304.00
20304.00,83.00,0.00,0.00,0.00,1.00,363.00
20304.00,71.00,0.00,0.00,0.00,1.00,313.00
20304.00,77.00,0.00,0.00,0.00,1.00,193.00
20304.00,83.00,0.00,0.00,0.00,1.00,193.00
20304.00,83.00,0.00,0.00,0.00,1.00,751.00
20304.00,77.00,0.00,0.00,0.00,1.00,67.00
20304.00,83.00,0.00,0.00,0.00,1.00,153.00
20304.00,70.00,0.00,0.00,0.00,1.00,157.00
20304.00,79.00,0.00,0.00,0.00,1.00,157.00
20304.00,83.00,0.00,0.00,0.00,1.00,156.00
20304.00,83.00,0.00,0.00,0.00,1.00,250.00
20304.00,65.00,0.00,0.00,0.00,1.00,125.00
20304.00,68.00,0.00,0.00,0.00,1.00,125.00
20304.00,82.00,0.00,0.00,0.00,1.00,192.00
20304.00,83.00,0.00,0.00,0.00,1.00,1504.00
20304.00,83.00,0.00,0.00,0.00,1.00,599.00
20304.00,83.00,0.00,0.00,0.00,1.00,599.00
20304.00,83.00,0.00,0.00,0.00,1.00,262.00
20304.00,83.00,0.00,0.00,0.00,1.00,262.00
20304.00,67.00,0.00,0.00,0.00,1.00,153.00
20304.00,77.00,0.00,0.00,0.00,1.00,78.00
20304.00,83.00,0.00,0.00,0.00,1.00,78.00
20304.00,83.00,0.00,0.00,0.00,1.00,86.00
20304.00,68.00,0.00,0.00,0.00,1.00,125.00
20304.00,80.00,0.00,0.00,0.00,1.00,651.00
20304.00,83.00,0.00,0.00,0.00,1.00,414.00
20304.00,65.00,0.00,0.00,0.00,1.00,125.00
20304.00,77.00,0.00,0.00,0.00,1.00,77.00
20304.00,83.00,0.00,0.00,0.00,1.00,77.00
20304.00,77.00,0.00,0.00,0.00,1.00,329.00
20304.00,83.00,0.00,0.00,0.00,1.00,329.00
20304.00,68.00,0.00,0.00,0.00,1.00,844.00
20304.00,77.00,0.00,0.00,0.00,1.00,329.00
20304.00,83.00,0.00,0.00,0.00,1.00,372.00
20304.00,83.00,0.00,0.00,0.00,1.00,192.00
20304.00,77.00,0.00,0.00,0.00,1.00,329.00
20304.00,83.00,0.00,0.00,0.00,1.00,158.00
20304.00,83.00,0.00,0.00,0.00,1.00,262.00
20304.00,83.00,0.00,0.00,0.00,1.00,262.00
20304.00,82.00,0.00,0.00,0.00,1.00,192.00
20304.00,65.00,0.00,0.00,0.00,1.00,125.00
20304.00,80.00,0.00,0.00,0.00,1.00,421.00
20304.00,65.00,0.00,0.00,0.00,1.00,250.00
20304.00,83.00,0.00,0.00,0.00,1.00,250.00
20304.00,65.00,0.00,0.00,0.00,1.00,1504.00
20304.00,83.00,0.00,0.00,0.00,1.00,326.00
20304.00,66.00,0.00,0.00,0.00,1.00,326.00
20304.00,80.00,0.00,0.00,0.00,1.00,421.00
20304.00,83.00,0.00,0.00,0.00,1.00,421.00
20304.00,76.00,0.00,0.00,0.00,1.00,1235.00
20304.00,76.00,0.00,0.00,0.00,1.00,373.00
20304.00,83.00,0.00,0.00,0.00,1.00,373.00
20304.00,68.00,0.00,0.00,0.00,1.00,1464.00
20304.00,66.00,0.00,0.00,0.00,1.00,199.00
20304.00,65.00,0.00,0.00,0.00,1.00,257.00
20304.00,82.00,0.00,0.00,0.00,1.00,162.00
20398.00,79.00,0.00,0.00,0.00,1.00,296.00
19977.00,83.00,0.00,0.00,0.00,1.00,337.00
19977.00,73.00,0.00,0.00,0.00,1.00,1190.00
19977.00,83.00,0.00,0.00,0.00,1.00,2398.00
19977.00,83.00,0.00,0.00,0.00,1.00,2704.00
19977.00,72.00,0.00,0.00,0.00,1.00,2398.00
20355.00,68.00,0.00,0.00,0.00,1.00,399.00
20355.00,80.00,0.00,0.00,0.00,1.00,2075.00
20304.00,83.00,0.00,0.00,0.00,1.00,262.00
20304.00,68.00,0.00,0.00,0.00,1.00,1464.00
20304.00,83.00,0.00,0.00,0.00,1.00,192.00
21171.00,83.00,0.00,0.00,0.00,1.00,679.00
21171.00,83.00,0.00,0.00,0.00,1.00,679.00
19393.00,66.00,0.00,0.00,0.00,1.00,395.00
19393.00,66.00,0.00,0.00,0.00,1.00,325.00
19393.00,66.00,0.00,0.00,0.00,1.00,369.00
19393.00,66.00,0.00,0.00,0.00,1.00,296.00
19393.00,66.00,0.00,0.00,0.00,1.00,787.00
19393.00,66.00,0.00,0.00,0.00,1.00,255.00
19393.00,76.00,0.00,0.00,0.00,1.00,337.00
19393.00,76.00,0.00,0.00,0.00,1.00,337.00
19393.00,76.00,0.00,0.00,0.00,1.00,337.00
19393.00,80.00,0.00,0.00,0.00,1.00,651.00
19393.00,80.00,0.00,0.00,0.00,1.00,651.00
19393.00,82.00,0.00,0.00,0.00,1.00,255.00
19393.00,68.00,0.00,0.00,0.00,1.00,239.00
19393.00,68.00,0.00,0.00,0.00,1.00,239.00
19393.00,68.00,0.00,0.00,0.00,1.00,248.00
19393.00,72.00,0.00,0.00,0.00,1.00,696.00
19393.00,72.00,0.00,0.00,0.00,1.00,1246.00
19393.00,72.00,0.00,0.00,0.00,1.00,239.00
19393.00,72.00,0.00,0.00,0.00,1.00,239.00
19393.00,76.00,0.00,0.00,0.00,1.00,414.00
19393.00,76.00,0.00,0.00,0.00,1.00,414.00
19393.00,77.00,0.00,0.00,0.00,1.00,787.00
19393.00,77.00,0.00,0.00,0.00,1.00,583.00
19393.00,79.00,0.00,0.00,0.00,1.00,325.00
19393.00,79.00,0.00,0.00,0.00,1.00,717.00
19393.00,80.00,0.00,0.00,0.00,1.00,861.00
19393.00,80.00,0.00,0.00,0.00,1.00,370.00
19393.00,83.00,0.00,0.00,0.00,1.00,304.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
19393.00,83.00,0.00,0.00,0.00,1.00,447.00
