Algorithm,Variable Name,Flights Aref,Cal Housing Aref,Earthquakes - Aref,WI Breast Cancer - Andy,Stock - Andy
Linear Regression/ Univariate,Weight coefficient,-0.00172513,13.85953814,-0.01502821,0.775117,0.858739
Linear Regression/ Univariate,y-axis intercept,11.24637002,199400.7989,3.82692853,0.732407,0.851738
